img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_1156347AmericaFrontccc.jpg,Herc's Adventures,PS,Adventure,LucasArts,Big Ape Productions,,0.04,0.02,,0.01,0.0,1997-07-31,
/games/boxart/8569245ccc.jpg,Dreamfall: The Longest Journey,XB,Adventure,Aspyr,Funcom,,0.04,0.03,,0.01,0.0,2006-04-18,
/games/boxart/full_blue-roses-yousei-to-aoi-hitomi-no-senshitachi_5JapanFront.jpg,Blue Roses: Yousei to Aoi Hitomi no Senshitachi,PSP,Adventure,Nippon Ichi Software,Flight-Plan,,0.04,,0.04,,,2010-09-16,
/games/boxart/full_voodoo-chronicles-first-sign_747AmericaFront.jpg,Voodoo Chronicles: First Sign,PC,Adventure,ValuSoft,ValuSoft,,0.04,0.03,,,0.0,2011-09-06,
/games/boxart/full_5264828JapanFrontccc.jpg,Hakuouki: Zuisouroku,PS2,Adventure,Idea Factory,Idea Factory,,0.04,,0.04,,,2009-08-27,
/games/boxart/full_4074282AmericaFrontccc.jpg,Punch Line,PS4,Adventure,PQube,5pb. Inc.,,0.04,0.03,,,0.01,2018-10-09,
/games/boxart/9059039ccc.jpg,Harry Potter and the Order of the Phoenix,PC,Adventure,Electronic Arts,EA Games,,0.04,,,0.03,0.0,2007-06-25,
/games/boxart/2968956ccc.jpg,Harry Potter and the Prisoner of Azkaban,PC,Adventure,Electronic Arts,KnowWonder,,0.04,,,0.03,0.0,2004-05-25,
/games/boxart/full_1799922JapanFrontccc.jpg,Pia Carrot e Youkoso!! 2.5,DC,Adventure,NEC Interchannel,Cocktail Soft,,0.04,,0.04,,0.0,2008-06-21,
/games/boxart/full_7991951JapanFrontccc.jpg,Memories Off 6: T-Wave,PS2,Adventure,5pb,5pb. Games,,0.04,,0.04,,,2008-08-21,
/games/boxart/full_2153457AmericaFrontccc.jpg,Story Hour: Fairy Tales,Wii,Adventure,Zoo Digital Publishing,Other Ocean Interactive,,0.04,0.04,,,0.0,2008-12-28,
/games/boxart/full_8482571AmericaFrontccc.jpg,National Geographic Panda (US sales),DS,Simulation,Namco Bandai,Namco Bandai Games,,0.04,0.04,,0.0,,2008-11-11,
/games/boxart/full_5921688AmericaFrontccc.jpg,Sushi Go-Round,DS,Simulation,SouthPeak Interactive,Asylum Entertainment,,0.04,0.04,,,0.0,2010-03-30,
/games/boxart/382226ccc.jpg,Silent Hunter: Wolves of the Pacific,PC,Simulation,Ubisoft,Ubisoft Romania,,0.04,,,0.04,0.0,2007-03-20,
/games/boxart/full_da-capo-i-ampamp-ii-plus-situation-portable_7JapanFront.jpg,Da Capo I & II Plus Situation Portable,PSP,Adventure,Kadokawa Shoten,Kadokawa Shoten,,0.04,,0.04,,,2010-10-28,
